brandName,Immune,Energy,Sleep/Calm,Cognitive/Focus,Joint/Bone,Heart/Cardio,Digestive/Gut,Men’s/Women’s,Sports/Performance,General Wellness
GNC Women's,0.6333333333333333,0.6333333333333333,0.13333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.1,1.0,0.2,0.7
Gaia Herbs,0.2857142857142857,0.12087912087912088,0.2967032967032967,0.03296703296703297,0.01098901098901099,0.01098901098901099,0.08791208791208792,0.978021978021978,0.13186813186813187,0.03296703296703297
Garden of Life,0.3611111111111111,0.9166666666666666,0.041666666666666664,0.08333333333333333,0.16666666666666666,0.2222222222222222,0.6805555555555556,0.9722222222222222,0.3888888888888889,0.125
Garden of Life Dr. Formulated,0.5,1.0,0.16666666666666666,0.4444444444444444,0.1111111111111111,0.3611111111111111,0.5,1.0,0.3611111111111111,0.16666666666666666
Garden of Life Vitamin Code,0.4883720930232558,0.7441860465116279,0.06976744186046512,0.023255813953488372,0.37209302325581395,0.32558139534883723,0.5813953488372093,1.0,0.5116279069767442,0.3488372093023256
Genestra Brands,0.42592592592592593,0.09259259259259259,0.037037037037037035,0.018518518518518517,0.037037037037037035,0.1111111111111111,0.4074074074074074,0.9074074074074074,0.018518518518518517,0.1111111111111111
Geri-Care,0.6428571428571429,0.0,0.0,0.0,0.0,0.03571428571428571,0.19642857142857142,0.9642857142857143,0.017857142857142856,0.03571428571428571
Gorilla Mind,0.0,0.2,0.01818181818181818,0.5272727272727272,0.0,0.18181818181818182,0.01818181818181818,0.8909090909090909,0.7272727272727273,0.0
Hawaii Pharm,0.0,0.0,0.0,0.0,0.0,0.0,0.0016319869441044472,1.0,0.0,0.0
Health Thru Nutrition,0.20833333333333334,0.041666666666666664,0.0,0.041666666666666664,0.020833333333333332,0.020833333333333332,0.0,1.0,0.041666666666666664,0.041666666666666664
HealthForce SuperFoods,0.6666666666666666,0.21428571428571427,0.19047619047619047,0.09523809523809523,0.0,0.23809523809523808,0.3333333333333333,0.023809523809523808,0.2857142857142857,0.09523809523809523
Healths Harmony,0.2,0.2,0.0,0.0,0.0,0.075,0.025,1.0,0.075,0.0
Healthy Origins,0.6666666666666666,0.18181818181818182,0.09090909090909091,0.21212121212121213,0.12121212121212122,0.45454545454545453,0.030303030303030304,0.9393939393939394,0.15151515151515152,0.030303030303030304
HempWorx,0.0,0.0,0.0,0.05714285714285714,0.0,0.0,0.0,1.0,0.0,0.0
Herb Pharm,0.205607476635514,0.14485981308411214,0.10747663551401869,0.037383177570093455,0.0,0.11682242990654206,0.11214953271028037,0.5654205607476636,0.0,0.0
Herb Stop,0.23834196891191708,0.08808290155440414,0.06735751295336788,0.031088082901554404,0.015544041450777202,0.08290155440414508,0.07253886010362694,0.9844559585492227,0.08808290155440414,0.0051813471502590676
Herbadiet,0.6156716417910447,0.20149253731343283,0.09701492537313433,0.10074626865671642,0.08208955223880597,0.20522388059701493,0.1865671641791045,1.0,0.06343283582089553,0.09701492537313433
Herbal Goodness,0.4,0.06666666666666667,0.17777777777777778,0.044444444444444446,0.06666666666666667,0.1111111111111111,0.2,0.9555555555555556,0.8,0.044444444444444446
Herbal Hills,0.0,0.0,0.0,0.0,0.025,0.0,0.0,1.0,0.0,0.0
Herbal Secrets,0.6842105263157895,0.24210526315789474,0.25263157894736843,0.14736842105263157,0.09473684210526316,0.5473684210526316,0.35789473684210527,0.9894736842105263,0.2,0.1368421052631579
Herbal Terra,0.0,0.0,0.0,0.0,0.0,0.0,0.000758150113722517,1.0,0.0,0.0
