product_id,cluster
273399,5
273400,5
273401,5
273415,5
273416,5
273417,5
273418,5
273421,5
273426,5
273429,4
273430,4
273431,0
273433,5
273434,5
273436,5
273437,5
273440,5
273441,7
273442,5
273445,5
273448,5
273449,5
273450,5
273459,7
273460,5
273461,5
273462,5
273463,5
273470,5
273476,7
273477,5
273479,7
273480,4
273482,5
273483,7
273484,5
273485,5
273489,5
273491,5
273492,5
273493,2
273494,2
273495,2
273496,5
273497,1
273498,7
273500,5
273501,4
273502,5
273505,1
273506,5
273507,1
273508,0
273509,5
273510,2
273512,2
273513,5
273514,7
273515,0
273517,5
273519,7
273520,1
273521,7
273522,1
273527,1
273528,1
273530,5
273532,4
273533,4
273534,4
273535,2
273537,5
273538,1
273539,5
273540,6
273541,7
273542,5
273543,5
273544,5
273545,5
273546,5
273547,5
273548,5
273549,5
273550,0
273551,5
273553,5
273554,6
273555,5
273559,5
273560,5
273561,5
273562,5
273563,5
273564,5
273565,5
273566,0
273567,5
273568,0
273569,5
273571,5
273572,5
273573,5
273574,5
273575,5
273576,0
273577,7
273578,0
273579,5
273580,5
273581,5
273582,1
273584,1
273585,5
273586,1
273587,5
273588,1
273589,5
273590,1
273591,0
273592,5
273594,5
273595,5
273596,1
273597,5
273598,0
273599,5
273603,0
273605,5
273606,5
273608,0
273609,0
273610,5
273611,5
273613,5
273614,4
273616,5
273620,5
273621,0
273622,4
273627,4
273629,6
273630,0
273631,4
273632,0
273636,0
273637,5
273638,4
273639,5
273640,5
273641,0
273642,1
273643,4
273644,5
273645,5
273647,4
273648,4
273649,5
273650,0
273652,4
273653,5
273654,5
273656,5
273657,5
273660,7
273661,4
273662,5
273663,6
273664,7
273666,5
273668,5
273669,1
273671,4
273672,2
273673,7
273674,0
273675,0
273677,7
273679,5
273680,5
273681,7
273683,0
273685,4
273688,5
273691,5
273694,5
273696,0
273697,3
273698,4
273699,6
273700,5
273701,0
273702,5
273703,6
273705,5
273706,5
273707,5
273708,7
273710,4
273711,2
273713,5
273715,5
273718,4
273721,7
273724,5
273726,6
273727,6
273729,4
273730,5
273731,5
273734,5
273735,4
273736,6
273739,5
273748,5
273749,5
273755,7
273756,4
273757,5
273760,5
273761,5
273764,5
273765,5
273766,0
273767,5
273779,7
273784,5
273786,5
273788,5
273789,6
273790,1
273791,4
273792,5
273794,5
273795,0
273797,5
273799,4
273800,5
273802,5
273803,7
273804,2
273805,7
273808,1
273809,5
273810,5
273812,4
273814,5
273815,4
273817,4
273818,5
273819,0
273822,5
273824,3
273825,4
273831,7
273840,5
273842,5
273843,1
273858,2
273874,5
273880,5
273882,2
273919,5
273930,7
273936,7
273959,4
273970,5
273973,5
273981,5
273982,5
273993,5
274382,5
274394,5
274425,5
274430,7
274436,5
274807,5
274905,4
274909,2
275079,5
275319,0
275349,2
275384,4
275424,4
275464,0
275466,5
275474,5
275539,5
275708,5
275793,5
275794,5
275805,0
275807,1
275809,5
275811,5
275813,5
275816,0
275817,4
275818,4
275821,0
275824,5
275836,5
275837,5
275840,3
275841,0
275842,4
275843,4
275844,0
275845,0
275846,0
275848,4
275850,5
275852,5
275856,3
275859,5
275860,5
275863,7
275864,5
275865,6
275866,6
275867,5
275868,5
275869,0
275870,0
275871,6
275872,5
275873,2
275874,5
275876,0
275877,5
275878,5
275879,5
275880,5
275881,7
275882,5
275883,5
275884,0
275888,4
275889,4
275892,7
275894,5
275895,7
275896,5
275897,6
275898,1
275902,5
275905,1
275907,7
275908,5
275909,7
275910,2
275911,6
275912,5
275913,5
275914,1
275915,7
275917,7
275919,5
275920,5
275922,6
275924,5
275929,3
275935,5
275948,3
275954,4
275955,3
275956,4
275960,3
275961,3
276014,1
276016,5
276018,5
276060,5
276064,2
276071,0
276089,5
276092,5
276094,5
276098,5
276100,5
276142,4
276147,4
276148,4
276151,5
276206,5
276216,5
276238,5
276240,5
276279,3
276335,5
276348,5
276356,5
276370,5
276377,5
276405,2
276407,5
276431,7
276433,5
276438,7
276497,5
276673,4
276751,5
276826,5
276891,1
276986,7
277037,2
277045,2
277166,7
277175,0
277186,6
277207,5
277208,0
277214,6
277215,6
277216,6
277222,7
277231,5
277237,6
277239,4
277252,7
277256,7
277297,2
277300,3
277324,2
277332,5
277341,7
277349,1
277354,7
277393,1
277397,6
277413,7
277465,2
277487,4
