ingredient,label,n_co,odds_ratio,pmi
l-citrulline malate,Cognitive/Focus,17,1.906833195706028,0.8320580792394899
coenzyme q10,Cognitive/Focus,18,1.8945840891422647,0.8234729062446723
gamma aminobutyric acid,Cognitive/Focus,5,1.8803231214753848,0.8470084207054615
glycine,Cognitive/Focus,30,1.8796349644830308,0.8068512942334786
guarana seed extract,Cognitive/Focus,6,1.8511508644346872,0.8214733285983239
calories,Cognitive/Focus,1262,1.8307591578357172,0.566623358135438
epicor,Cognitive/Focus,5,1.8131099353321576,0.8026143013470081
beet root extract,Cognitive/Focus,4,1.7624908575607972,0.7766190928140635
bioperine,Cognitive/Focus,100,1.7602352198732107,0.7132430825585675
l-carnitine,Cognitive/Focus,25,1.7500120415982485,0.7240808988003183
lycopene,Cognitive/Focus,66,1.7406690644054879,0.7060832909857016
gaba,Cognitive/Focus,8,1.731222854575408,0.7315312032855255
yohimbe bark extract,Cognitive/Focus,4,1.6919363686231486,0.7259930197440955
folate,Cognitive/Focus,394,1.6860490107956325,0.6197976786459315
molybdenum,Cognitive/Focus,175,1.6598964154715614,0.6326892999046958
salt,Cognitive/Focus,6,1.6452539943895597,0.677083419263149
banaba leaf extract,Cognitive/Focus,9,1.6276699131684027,0.6532366773087814
pantothenic acid,Cognitive/Focus,354,1.614088668278924,0.5757426844309175
lecithin,Cognitive/Focus,11,1.612478572082859,0.6375550550765116
l-carnosine,Cognitive/Focus,7,1.611806072964459,0.647336075869097
turmeric extract,Cognitive/Focus,7,1.611806072964459,0.647336075869097
orchard fruits garden veggies powder blend,Cognitive/Focus,6,1.6007357522176402,0.6431360873398114
"ashwagandha, powder",Cognitive/Focus,9,1.5969073393687199,0.6297777044847924
l-lysine hydrochloride,Cognitive/Focus,12,1.5950793157571845,0.6226356352407726
lemon balm,Cognitive/Focus,5,1.5862654320987655,0.6375550550765116
curcumin c3 complex,Cognitive/Focus,4,1.566506166067329,0.6297777044847924
eleuthero,Cognitive/Focus,7,1.5384423427245277,0.5896205780128095
vitamin e,Cognitive/Focus,400,1.5354828464218708,0.5128995652573671
lemon balm aerial parts extract,Cognitive/Focus,4,1.510510539926338,0.5839740148716676
"spirulina, powder",Cognitive/Focus,6,1.4805364983534577,0.5458388859848964
l-cysteine hydrochloride,Cognitive/Focus,3,1.4709409759063434,0.5616062018432132
chromium,Cognitive/Focus,270,1.4647661207514275,0.4738302417547722
lemon balm leaf extract,Cognitive/Focus,8,1.4645006969965784,0.5250803258180989
white willow bark extract,Cognitive/Focus,4,1.4583766811054155,0.5395798955132142
thiamine,Cognitive/Focus,268,1.4521401142815824,0.46391443930014525
ashwagandha root extract,Cognitive/Focus,26,1.4481463240841645,0.49337146609076077
riboflavin,Cognitive/Focus,275,1.4380284968894241,0.4517071394878798
copper,Cognitive/Focus,224,1.4249864788297104,0.4464704911217326
cholesterol,Cognitive/Focus,258,1.418277628886948,0.43728985994028413
psyllium,Cognitive/Focus,6,1.4099432857665568,0.48443834132075303
ionic trace minerals,Cognitive/Focus,4,1.4097184128725544,0.49651117362132813
luteolin,Cognitive/Focus,4,1.4097184128725544,0.49651117362132813
trans-resveratrol,Cognitive/Focus,19,1.3881828155545823,0.4444226624728742
holy basil leaf extract,Cognitive/Focus,8,1.3844840497229294,0.45469099792670115
biotin,Cognitive/Focus,324,1.3823456255381072,0.400548578502965
coenzyme q-10,Cognitive/Focus,66,1.3785725095122794,0.4242532647058974
alpha-lipoic acid,Cognitive/Focus,47,1.3666910684049645,0.41655586903993
fiber blend,Cognitive/Focus,4,1.3641993877514909,0.45469099792670115
l-histidine,Cognitive/Focus,4,1.3641993877514909,0.45469099792670115
trimethylglycine,Cognitive/Focus,7,1.3535657425199012,0.4291559058195634
black pepper fruit extract,Cognitive/Focus,14,1.3506337335861245,0.4140490134293553
n-acetyl-l-cysteine,Cognitive/Focus,13,1.3464331242032643,0.4111893592901147
grape seed extract,Cognitive/Focus,45,1.3361788231717744,0.3890030948594596
hemp extract,Cognitive/Focus,4,1.3215253017004938,0.4140490134293553
vitamin k,Cognitive/Focus,100,1.3042424501485392,0.35230132732063374
proprietary blend extract,Cognitive/Focus,1,1.30092543794928,0.45469099792670115
n-acetyl cysteine,Cognitive/Focus,18,1.2866431718061675,0.35010209664950137
hawthorn berry extract,Cognitive/Focus,4,1.2814375238950115,0.3745206492427179
irish moss,Cognitive/Focus,4,1.2814375238950115,0.3745206492427179
hesperidin,Cognitive/Focus,12,1.279066571205748,0.34777579401018904
inositol,Cognitive/Focus,111,1.2726547707388698,0.3212079924524492
chloride,Cognitive/Focus,54,1.2642020191058418,0.31889178038901517
pine bark extract,Cognitive/Focus,11,1.2534171984570446,0.3234464646484485
vitamin d2,Cognitive/Focus,3,1.252861306604109,0.35515532437578684
vitamin a,Cognitive/Focus,318,1.2469902090777247,0.2808231270149336
digestive enzyme blend,Cognitive/Focus,9,1.2440425222547136,0.3171874741767662
"turmeric, powder",Cognitive/Focus,9,1.2440425222547136,0.3171874741767662
total cannabinoids,Cognitive/Focus,4,1.2437078506663224,0.3360465014280821
chamomile,Cognitive/Focus,6,1.2334602542993047,0.31451333987844093
eleuthero root extract,Cognitive/Focus,8,1.2278923314024552,0.30268790448165095
benfotiamine,Cognitive/Focus,6,1.2082483926611258,0.28804112851724967
hops flower extract,Cognitive/Focus,2,1.2080200501253133,0.3234464646484485
schisandra fruit extract,Cognitive/Focus,2,1.2080200501253133,0.3234464646484485
vanadium,Cognitive/Focus,41,1.2020118622363012,0.2577585615812071
sodium,Cognitive/Focus,551,1.1899912973877471,0.21259192681704212
l-glutathione,Cognitive/Focus,7,1.1870686873648575,0.2620459199843054
cordyceps,Cognitive/Focus,4,1.1745367830803926,0.2620459199843054
citrus bioflavonoid complex,Cognitive/Focus,23,1.174084539365166,0.2322985765902532
iodine,Cognitive/Focus,188,1.172809102510537,0.21603352222746922
magnesium,Cognitive/Focus,455,1.172808924813938,0.20163440328848356
bioflavonoid complex,Cognitive/Focus,3,1.1663814377428778,0.2620459199843054
shilajit extract,Cognitive/Focus,3,1.1663814377428778,0.2620459199843054
vitamin d3,Cognitive/Focus,227,1.1660834347421274,0.20695380109059278
"ginger, powder",Cognitive/Focus,6,1.1607907707539658,0.2365108278771676
vitamin c,Cognitive/Focus,587,1.1535991232260585,0.17660507631917727
niacinamide,Cognitive/Focus,5,1.1531986531986531,0.2322985765902532
panax ginseng root extract,Cognitive/Focus,5,1.1531986531986531,0.2322985765902532
selenium,Cognitive/Focus,227,1.1428798267773368,0.18279507785332574
manganese,Cognitive/Focus,202,1.128194801632465,0.168325898009312
